Location ID,Location Name,2023 SDI Index Value,SDI Quintile
35622,Embu,0.553741732,Low-middle SDI
35623,Garissa,0.308365822,Low-middle SDI
35624,Homa Bay,0.504336182,Low-middle SDI
35625,Isiolo,0.446252343,Low-middle SDI
35626,Kajiado,0.574881952,Low-middle SDI
35627,Kakamega,0.509798627,Low-middle SDI
35628,Kericho,0.542298075,Low-middle SDI
35629,Kiambu,0.643740233,Low-middle SDI
35630,Kilifi,0.496330575,Low-middle SDI
35631,Kirinyaga,0.558373172,Low-middle SDI
35632,Kisii,0.55611862,Low-middle SDI
35633,Kisumu,0.589334409,Low-middle SDI
35634,Kitui,0.501404583,Low-middle SDI
35635,Kwale,0.47430242,Low-middle SDI
35636,Laikipia,0.556582423,Low-middle SDI
35637,Lamu,0.495153508,Low-middle SDI
35638,Machakos,0.584367901,Low-middle SDI
35639,Makueni,0.53080046,Low-middle SDI
35640,Mandera,0.229103897,Low-middle SDI
35641,Marsabit,0.327144647,Low-middle SDI
35642,Meru,0.530069887,Low-middle SDI
35643,Migori,0.483224425,Low-middle SDI
35644,Mombasa,0.648680204,Low-middle SDI
35645,Murang'a,0.560486666,Low-middle SDI
35646,Nairobi,0.70460138,Low-middle SDI
35647,Nakuru,0.58856554,Low-middle SDI
35648,Nandi,0.520826574,Low-middle SDI
35649,Narok,0.437704595,Low-middle SDI
35650,Nyamira,0.540290202,Low-middle SDI
