LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
    Antigua and Barbuda,Caribbean,Latin America and Caribbean,ATG,9.018148857355508e-4,5.987434368003597e-4,1.5787528839824547e-4,1.711288866525894e-4,2.0273196932662913e-4,2.6670321389092783e-4,mid,0.0048,51.88,25745.49581,Antigua and Barbuda,3
    Bahamas,Caribbean,Latin America and Caribbean,BHS,0.01078541086948488,0.0041331066184006,0.00142418799693528,7.576731416635485e-4,7.93486088724817e-4,5.992228083748233e-4,high,0.0329,75.3,31064.68222,Bahamas,3
    Barbados,Caribbean,Latin America and Caribbean,BRB,0.0028022405525381,0.0021607639471752,6.349172406839399e-4,7.919964823088501e-4,8.707172270313113e-4,0.00124496416729908,mid,0.0152,52.8,15683.88471,Barbados,3
    Belize,Caribbean,Latin America and Caribbean,BLZ,0.00201345593516618,0.00166096423690502,2.421650966978652e-4,3.402894916424504e-4,3.463480884268409e-4,5.33843324362198e-4,mid,0.0057,14.08,11677.46101,Belize,3
    Cuba,Caribbean,Latin America and Caribbean,CUB,0,0,0,0,0,0,high,0.3044,26.85,NA,Cuba,3
    Dominica,Caribbean,Latin America and Caribbean,DMA,4.775639680028945e-4,3.4788571018734825e-4,8.325263805649813e-5,1.0429997999263756e-4,1.1304367125100416e-4,1.621201978892637e-4,mid,0.0019,26.92,15808.97435,Dominica,3
    Dominican Republic,Caribbean,Latin America and Caribbean,DOM,0.00451740482306569,0.01155792709530501,2.347879363711079e-4,9.028981574840714e-4,6.954985235294354e-5,2.892183691310759e-4,low,0.0823,7.94,22053.45899,Dominican Republic,3
    Grenada,Caribbean,Latin America and Caribbean,GRD,7.357457024084402e-4,5.38697738927372e-4,1.3036725231100203e-4,1.6311915749619288e-4,1.7899576549706907e-4,2.600757644513078e-4,mid,0.0035,32.04,15298.12311,Grenada,3
    Guyana,Caribbean,Latin America and Caribbean,GUY,4.759801478180279e-4,9.620084407968376e-4,1.1040880306337236e-4,4.2374607223347e-4,3.28823228944277e-5,1.310037340959236e-4,low,0.0113,14.38,22865.9271,Guyana,3
    Haiti,Caribbean,Latin America and Caribbean,HTI,0.00264211997342522,0.01132697283837807,0.00107276119687322,0.00667276264601784,2.9745449245049006e-4,0.00208316565425266,low,0.0263,2.34,3134.950149,Haiti,3
    Jamaica,Caribbean,Latin America and Caribbean,JAM,0.02203840722350475,0.01982143279169969,0.00532287855117082,0.00786056372821509,0.00774333867487436,0.01248039597884814,mid,0.0449,15.62,9577.164211,Jamaica,3
    Saint Kitts and Nevis,Caribbean,Latin America and Caribbean,KNA,0.00165357607085148,6.02534999067687e-4,3.101559570243594e-4,1.7422538838238606e-4,1.7538699468517313e-4,1.3658200902129998e-4,high,0.003,56.98,26896.61771,Saint Kitts and Nevis,3
