Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Mauritius,8.354266292402536e-4,0.00172575243775293,1.2796878527556032e-4,5.621561033718252e-4,4.339150385728811e-5,2.2691219714222636e-4,low,0.0168,13.26,22737.57294
Mexico,0.9222089890397324,0.7019594335146576,0.04111631480119101,0.04895792576658726,0.05638040898822354,0.07375443736050866,mid,2.103,16.7,20782.58774
Micronesia,2.069217154225593e-5,8.182084580654943e-5,5.586322974112602e-6,3.255973449641332e-5,1.52581051570233e-6,1.0517743872498846e-5,low,5e-4,5.3,3944.705715
Monaco,0,0,0,0,0,0,high,NA,NA,NA
Mongolia,0.00197909775325052,0.0045102903883059,5.124261306589086e-4,0.00218141289644687,1.5581049265807892e-4,7.1001859671219e-4,low,0.0352,10.65,14792.25091
Montenegro,4.8662608359497896e-4,9.63551562826216e-4,1.16719203410533e-4,4.2636055339182274e-4,3.757272722493855e-5,1.872747543100973e-4,low,0.0057,9.18,23842.06192
Morocco,0.013196654120745,0.03753553702661691,0.0031436530066871,0.01650645482960723,9.983067393655731e-4,0.00730225646795576,low,0.0821,2.31,8623.265625
Mozambique,0.0043680282466614,0.02831591963875335,0.00132696734825729,0.01026633176973955,4.759642823625626e-4,0.00446873942978597,low,0.0049,0.16,1457.235409
Myanmar,0.01827476825879254,0.06608744400870328,0.00644362249323238,0.04102156632528784,0.00177904408979485,0.01603672740247286,low,4e-4,0.01,5178.447182
Namibia,7.496988077054967e-4,0.0021775309342131,9.925983239433576e-5,4.724314884967315e-4,3.0468380989433473e-5,3.3189290283690997e-4,low,0.0028,1.13,9709.099306
Nauru,9.151096586016809e-5,7.129833007165658e-5,1.63349146637643e-5,2.2767810999628653e-5,2.4554647307215332e-5,3.789853017330351e-5,mid,2e-4,14.8,12196.64515
