Country,Level,selected_Mean_total_billions_mean,selected_Mean_total_billions_sd,selected_SD_total_billions_mean,selected_SD_total_billions_sd,selected_Mean_perio_billions_mean,selected_Mean_perio_billions_sd,selected_SD_perio_billions_mean,selected_SD_perio_billions_sd,selected_Mean_replace_billions_mean,selected_Mean_replace_billions_sd,selected_SD_replace_billions_mean,selected_SD_replace_billions_sd,Dent_exp_usd_mean,Dent_exp_usd_sd,Dent_exppc_usd_mean,Dent_exppc_usd_sd,GDP_per_capita_PPP_2021_mean,GDP_per_capita_PPP_2021_sd,Superregion,Region,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,level
Antigua and Barbuda,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00136399687354265,9.380969866211078e-4,3.352310939078885e-4,3.50976153326187e-4,4.266428674277289e-4,5.097121453768118e-4,mid,0.0048,51.88,25745.49581,Country
Bahamas,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03286731476976042,0.01126214952211406,0.01419482055158284,0.00751613716434845,0.00791953590215956,0.0057910391483204,high,0.0329,75.3,31064.68222,Country
Barbados,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00331904933188425,0.00254976017812453,8.499035172594508e-4,0.00102903655930785,0.00115177672342929,0.00151439203238516,mid,0.0152,52.8,15683.88471,Country
Belize,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00332082597529147,0.00258350827603523,7.07657043444184e-4,9.797141742161008e-4,0.00101455354576227,0.00152873680541181,mid,0.0057,14.08,11677.46101,Country
Cuba,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,high,0.3044,26.85,NA,Country
Dominica,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.166406369241943e-4,5.654908770166101e-4,1.663775810872698e-4,2.0366542345249603e-4,2.3671670746262848e-4,3.303549074748428e-4,mid,0.0019,26.92,15808.97435,Country
Dominican Republic,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00716137024713862,0.01431764674816687,0.00174690860319109,0.0063182763583932,6.146279832057066e-4,0.00223539340891928,low,0.0823,7.94,22053.45899,Country
Grenada,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00111390712931717,8.528446187553127e-4,2.656111712020665e-4,3.3190142056687024e-4,3.650742059899309e-4,4.969437760388335e-4,mid,0.0035,32.04,15298.12311,Country
Guyana,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.025878752700351e-4,0.00102230051905889,1.241952818886019e-4,4.719365541870678e-4,3.919856841625499e-5,1.4556108644102662e-4,low,0.0113,14.38,22865.9271,Country
Haiti,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00180165762689903,0.00846237188484836,5.698148759784098e-4,0.00379467462051604,1.817122356991512e-4,0.00115461302326657,low,0.0263,2.34,3134.950149,Country
Jamaica,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02064176867817491,0.01776642806078874,0.00477847620748601,0.00706457999846827,0.00708341740385932,0.01063011363133529,mid,0.0449,15.62,9577.164211,Country
Saint Kitts and Nevis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00382110909010031,0.0013919445081122,0.00171550260201321,9.104943780455588e-4,9.472857872560796e-4,7.379178529405406e-4,high,0.003,56.98,26896.61771,Country
Saint Lucia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00222694255981754,0.00163365194622467,5.474557623480849e-4,6.109993089446777e-4,7.295515422181395e-4,9.258199681867112e-4,mid,0.0054,29.98,19101.1653,Country
Saint Vincent and the Grenadines,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00117753326352235,8.976812631930392e-4,2.7969358436299665e-4,3.452648582466934e-4,3.741749874087307e-4,5.219384379387564e-4,mid,0.0026,23.29,16200.89946,Country
Suriname,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00661788456640456,0.00488954537935132,0.00154813181397302,0.00180545772441607,0.00203616130228804,0.00267124140094437,mid,0.0095,15.9,18458.235,Country
Trinidad and Tobago,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02443520773117566,0.01702818330451153,0.00608514901188179,0.00591828834838013,0.0077448524385238,0.00907850066085819,mid,0.0737,53.4,30424.66489,Country
Colombia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03133720886187385,0.06690929751378412,0.00918103338429574,0.03427300262803452,0.00252684572487117,0.00899470106302844,low,0.7051,14,17383.09017,Country
Costa Rica,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06640546825606672,0.04691335085071393,0.01597279390216009,0.01781156451276172,0.02030005655022722,0.02479138481166589,mid,0.1617,31.84,23852.9253,Country
El Salvador,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00218466356939558,0.00554019133156144,5.614612825231575e-4,0.00300675683530119,1.8955820198258725e-4,7.22823477577669e-4,low,0.0628,9.37,10809.7134,Country
