country,results,direct,perio_prev,Upper Perio Prevalence (%),Lower Perio Prevalence (%),decid_caries,Upper Deciduous,Lower Deciduous,perm_caries,Upper Permanent,Lower Permanent,edent,Upper Edentulism,Lower Edentulism,diab_prev,Upper Diabetes,Lower Diabetes,diab_death,Upper Diabetes Deaths,Lower Diabetes Deaths,smoking_agest,Upper Smoking,Lower Smoking,dentists,Upper Dentists,Lower Dentists,dent_personnel,Upper Dental Personnel,Lower Dental Personnel,gdp_usd,Upper GDP,Lower GDP,dent_exp,dent_exppc,adv_coverage,coverage
Democratic Republic of the Congo,,,0.052640833,0.073989466,0.036146569,0.087860012,0.111295378,0.064781551,0.288517634,0.351239066,0.237208512,0.025647389,0.031792207,0.019468873,0.027156968,0.029624657,0.024795252,0.02245485,0.026862274,0.018832979,0.114043812,0.123415612,0.105566722,0.292,0.411,0.197,0.861,1.123,0.625,666,639,688,0.0229,0.23,No,3
Denmark,0.0559,Direct,0.282403544,0.31856846,0.246921148,0.018896517,0.027483124,0.011864343,0.244345215,0.289921681,0.196638727,0.081856126,0.100284739,0.06313273,0.068015894,0.074556453,0.062454123,0.024579835,0.026655908,0.021582202,0.22619135,0.238497773,0.214388026,11.923,15.468,9.055,20.507,25.585,16.118,71431,70633,72335,1.8676,321.67,,
Djibouti,,,0.098493809,0.137936559,0.067724655,0.069857052,0.087835002,0.05162267,0.291277002,0.350312064,0.24297065,0.01126462,0.014036385,0.008502126,0.021086108,0.023006384,0.019389762,0.025360726,0.030891456,0.021043,0.248209361,0.264395249,0.234034061,0.272,0.414,0.17,0.36,0.526,0.237,3990,3907,4072,0.0008,0.76,,
Dominica,,,0.171369114,0.210186309,0.13520055,0.055299679,0.06813736,0.043531031,0.400277326,0.457071154,0.340240618,0.063429865,0.077998172,0.049772514,0.139071788,0.151456327,0.126845014,0.077369318,0.091915591,0.063276568,0.10808578,0.119359099,0.096610107,0.735,1.076,0.468,1.927,2.639,1.352,8651,8291,9006,0.0019,26.92,,
Dominican Republic,,,0.149722411,0.183503423,0.117002995,0.07798065,0.094695858,0.061813711,0.375988645,0.436120971,0.327846961,0.050706942,0.062219582,0.04003528,0.088394038,0.09637634,0.080574653,0.039218261,0.047907761,0.032064441,0.114747855,0.12523945,0.105148314,10.357,14.704,6.927,10.781,15.269,7.224,9830,9351,10368,0.0823,7.94,Yes,75
Ecuador,,,0.122100805,0.153321884,0.09255137,0.080557915,0.087219061,0.074058293,0.448624871,0.516105836,0.385961608,0.078458412,0.094390612,0.063046459,0.070771216,0.075689271,0.065601526,0.03622581,0.041047291,0.031811019,0.146857022,0.155124043,0.139414236,6.666,8.323,5.305,8.09,9.808,6.615,6231,6118,6362,0.1257,7.28,Yes,100
Egypt,,,0.099415103,0.131674138,0.072444577,0.093643655,0.116212361,0.073937036,0.31011731,0.378100154,0.254870701,0.037863711,0.047095193,0.029287071,0.063198697,0.069489976,0.057609216,0.038926091,0.043608295,0.034225774,0.231077938,0.237993637,0.224373522,1.988,2.413,1.641,2.326,2.806,1.937,4064,3665,4502,0.3293,3.32,,
El Salvador,,,0.13352968,0.165990883,0.102670546,0.075330802,0.095030549,0.057430478,0.377167544,0.439710492,0.320126558,0.056692068,0.068440136,0.044973101,0.066512339,0.07291762,0.06083442,0.05121686,0.057469024,0.045004995,0.098897441,0.10693878,0.0906327,3.48,4.461,2.679,5.12,6.255,4.13,4593,4554,4620,0.0628,9.37,Yes,100
Equatorial Guinea,,,0.089565068,0.118704133,0.065366545,0.075124223,0.096712601,0.054150425,0.263806592,0.325923001,0.212173865,0.016526769,0.020971542,0.012491913,0.034030731,0.0370689,0.031017671,0.027048345,0.033119669,0.021386034,0.149462872,0.162189754,0.13618241,0.575,0.858,0.366,1.245,1.751,0.854,7692,7226,8138,0.0057,4.19,,
Eritrea,,,0.070469526,0.101186081,0.049062939,0.08272866,0.104439979,0.06309871,0.392442646,0.462712824,0.332629049,0.010285263,0.012865991,0.007654452,0.02515283,0.027485771,0.023051152,0.024736405,0.030613956,0.019984676,0.065196726,0.07248074,0.058741835,0.101,0.149,0.064,0.202,0.283,0.138,655,611,698,0.0024,0.39,No,80
